Strain,Type,Rating,Effects,Flavor,Description
Batman-Og,indica,4.4,"Sleepy,Hungry,Happy,Relaxed,Giggly","Skunk,Pungent,Sweet","Batman OG, named for the Caped Crusader of the DC Universe, is a potent indica that hits the body like POW! This knockout strain binds the consumer to the couch and offers relaxing physical effects that are calming and sedative. Batman OG has deep earthy notes intermixed with scents of skunk and pine. It combats insomnia, stress, and chronic pain so well, it will have you saying, “Holy indica, Batman!”  "
Bay-11,sativa,4.5,"Happy,Relaxed,Uplifted,Energetic,Creative","Sweet,Earthy,Citrus","Bay 11, bred by Grand Daddy Purp, is a potent sativa strain with unspecified genetics. Its dense, pale buds are coated in amber resin with a sweet, fruity aroma that initiates immediate relaxation. A favorite strain for patients needing daytime relief, Bay 11 eases pain while boosting appetite. Bay 11 has a 67 day flowering period indoors, and outdoor gardens will be ready for harvest near the end of October."
Bay-Dream,sativa,4.3,"Relaxed,Happy,Euphoric,Uplifted,Focused","Citrus,Earthy,Sweet","Granddaddy Purp’s Bay Dream is a dreamy sativa cross between the esteemed Blue Dream and Bay 11. Blue Dream passes on a subtle pine aroma coupled with sweet lemon. Patients needing an appetite boost tend to find relief in Bay Dream, and its cerebrally-focused euphoria provides a steady buzz that begins to feel intoxicating with increased doses. The effects are fast-paced and active, so Bay Dream may not be the best choice for anxiety-prone consumers. Bay Dream’s heavy yields make this sativa a favorite among growers, who wait 9 to 10 weeks for it to flower indoors. Outdoor plants sown at the beginning of June will finish flowering near the end of October with heights that stretch as tall as 10 feet."
Bear-Dance,hybrid,4.8,"Uplifted,Euphoric,Giggly,Happy,Energetic","Earthy,Minty,Sweet","Bear Dance is a sativa-dominant hybrid created by 303 Seeds. A cross between a Humboldt Snowcap mother (Humboldt Snow x Haze) and a Pure Kush x Uzbeki Hashplant father, this strain delivers a truly funky aroma and flavor that is dominated by lemon zest and herbal undertones. Bear Dance has a tendency to significantly stretch over its 9-11 week flowering period, so make sure you’ve got the canopy space. "
Beast-Mode-20,indica,4.5,"Relaxed,Sleepy,Tingly,Happy,Euphoric","Earthy,Woody,Berry","Beast Mode 2.0, also known as BlueFire OG, is an indica-dominant hybrid of Master Kush and White Fire OG. It is a proprietary strain distributed by Green Umbrella in Seattle, and bred by Grass Roots Pharm. The strain was developed on the heels of Green Umbrella's other successful proprietary strain, Beast Mode OG. After another successful season for both Beast Mode OG and Seattle’s infamous running back, Grass Roots Pharm and Green Umbrella collaborated to bring Beast Mode 2.0 to the medical market, with plans to make it available for recreational consumption later this summer. Beast Mode 2.0 has a sweet mix of earthy berry and piney Kush flavors and has tested as high as 23% total cannabinoids by Steep Hill Lab. The effects of this hybrid are steered by the heavy indica properties that medical patients seek when fighting chronic pain, sleeplessness, or a lack of appetite. "
Beast-Mode-Og,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Talkative,Happy","Pine,Apricot,Earthy","Beast Mode OG is a proprietary strain of cannabis distributed by Green Umbrella, a Seattle-based delivery service. When the grower, Zion Gardens, first received the strain they believed it was a Girl Scout Cookies cut, but after growing it out it became apparent that this strain was either an exceptional phenotype of OG Kush or it was an OG-dominant hybrid of some kind. The strain was dubbed Beast Mode OG after tasting and testing showed that the potent effects induced a powerful punch similar to the running style of NFL Running Back Marshawn Lynch, nicknamed Beast Mode. The popularity of the strain was amplified to celebrity status as Seattle’s football team claimed its first championship following the 2013 season. The strain itself stays true to OG genetics with a pungent, piney Kush aroma that provides a balance between indica and sativa effects. Beast Mode OG is a great mood elevator and serves as a great answer to stress and body pain."
Bedford-Glue,hybrid,5,"Happy,Uplifted,Euphoric,Giggly,Relaxed","Pepper,Pine,Sage","Bedford Glue is a Midwest twist on one of the cannabis industry’s rising stars. This strain was created by combining Gorilla Glue #1 with Highwayman, lending a stimulating alertness to Gorilla Glue #1’s robust potency. It has a forest-like aroma with notes of pine, pepper, and herbs. Bedford Glue is generally a heady strain with mild body effects, making it an suitable hybrid for consumers seeking a THC content above 20% without overly debilitating effects.  "
Bedica,indica,4.3,"Relaxed,Sleepy,Hungry,Focused,Euphoric","Pungent,Cheese,Woody","Bedica is a strain produced by Canadian LP Bedrocan. It is a heavy indica with an average THC content of around 14%. The high levels of the terpene myrcene found in Bedica are known to produce a sedating, calming effect perfect for those looking for stress relief or a good night’s sleep."
Bediol,sativa,4.7,"Relaxed,Talkative,Happy,Focused,Uplifted","Mango,Citrus,Lemon","Bediol by Canadian LP Bedrocan is a sativa-dominant strain with a balanced cannabinoid profile of 6.5% THC and 8% CBD. This almost even split caters to a variety of patient needs, including relief of pain, inflammation, anxiety, and nausea. Due to its heightened levels of CBD, Bediol provides a subdued high that is less euphoric and more relaxing. Still, those sensitive to THC should mind their dose. "
Bell-Ringer,indica,5,"Relaxed,Sleepy,Euphoric,Hungry,Happy","Sweet,Citrus,Pungent","Bell Ringer by Khush Kush is a heavyweight indica with a complex terpene profile. Khush Kush’s renowned one-two punch Bell Ringer is a combination of Hindu Skunk and Stardawg mixed with the original heavyweight, Pre-98 Bubba Kush. In true indica fashion, Bell Ringer will stimulate your appetite and knock you out. The effects are weighted and euphoric, relieving physical pain while saddling the consumer with the aforementioned “muchy mania.” Enjoy Bell Ringer and its acrid, astringent, petrol aroma later in the day to maximize the strain’s sedative qualities."
Belladonna,hybrid,4,"Happy,Sleepy,Giggly,Euphoric,Uplifted","Peach,Earthy,Butter",Belladonna is a mostly sativa strain that also carries good indica characteristics making for a very nice hybrid.  A faster flowering time than typical sativa strains makes Belladonna a favorite among growers.  With a fruity smell and a trippy high Paradise Seeds has bred a winner.
Berkeley,sativa,4.3,"Talkative,Happy,Uplifted,Energetic,Focused","Citrus,Sweet,Pungent","Berkeley is rumored to be the super-potent botany project of a student at the prestigious California university of the same name. This strain is certainly an overachiever with its extremely high THC content and lightning fast flowering time—as short as 4 weeks! Berkeley is known to give energetic, buzzy effects that are typical of sativas. This strain will stimulate your mind, but beware, it may cause anxiety for some users."
Bermuda-Sour,hybrid,0,None,None,"Bermuda Sour by Deschutes Growery is a hybrid mashup of diametrically opposite strains. It was created by crossing East Coast Sour Diesel and Triangle Kush, and emits a complex bouquet of lemons, diesel, and earth. This strain’s cannabinoid profile contains just over 21% THC as well as touches of terpenes terpinolene, limonene, and ocimene. The overall tone and effects of the strain are uplifting and smooth.    "
Berry-Bomb,hybrid,4.2,"Relaxed,Happy,Euphoric,Tingly,Sleepy","Berry,Blueberry,Flowery","Berry Bomb is a hybrid cross between Blueberry and Bomb #1 that shows off its indica-leaning genetics through powerful sedation. A sweet blueberry and earthy pine flavor launches you into Berry Bomb’s potent full-body effects, which can easily help you transition into a restful night or an afternoon nap. According to its breeders at Bomb Seeds, Berry Bomb sometimes expresses itself in cool hues of blue in lower temperatures. Its flowers explode into growth early on, stretching especially tall in outdoor gardens. Berry Bomb thrives in screen of green (SCROG) setups, and indoor plants finish their flowering in a short 6 to 8 weeks."
Berry-Larry,hybrid,4.8,"Relaxed,Uplifted,Creative,Euphoric,Talkative","Berry,Citrus,Orange","Berry Larry by Taste Budz is an indica-leaning phenotype of Lemon Larry OG. This strain produces a laid-back body buzz while still allowing the consumer to get things done. The effects are happy, easy-going, and useful when it comes to tempering inflammation, mood, and stress. Like other members of the OG family, this strain has a sweet, piney aroma with a tart berry flavor unique to this phenotype. Berry Larry’s buds express touches of dark, colorful foliage, giving the strain an alluring appearance.  "
Berry-Noir,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Berry,Earthy,Sweet",Berry Noir is an indica strain that competed in the 2014 L.A. Cannabis Cup.
Berry-Og,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Sleepy","Berry,Blueberry,Earthy",Berry OG is an indica-dominant hybrid cross between OG Kush and Blueberry.
Berry-White,indica,4.4,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Berry,Sweet,Blueberry","Berry White is a hybrid strain that is the offspring of parents of near-celebrity status in the cannabis world: Blueberry and White Widow. Berry is famous in its own right for its even, balanced effects that offer relaxation from stress and anxiety along with a sense of euphoria. This strain is perfect for inspiring an upbeat mood and may lead to conversation and creative pursuits. This plant’s flowers have a light sour berry and pine smell and a fresh taste similar to their scent. They generally have a strong blue coloring contrasted by orange hairs."
Berts-Cookie-Dough,hybrid,5,"Uplifted,Energetic,Happy,Hungry",None,"Bert’s Cookie Dough by Los Angeles Kush is a heavy Cookies phenotype crossed with the renowned West Coast mainstay, OGKB. This hybrid was crafted by none other than Bert Baccarat for LAK and thus, the namesake. It offers a classic Cookies bouquet of pungent earth and doughy sweetness overlaid with notes of pine. The effects are heavy, weighing consumers to the couch while the warm body effects help alleviate stress, minor pain relief, and insomnia. "
Bertberry-Cheesecake,sativa,5,"Uplifted,Creative,Euphoric,Focused,Energetic","Cheese,Berry,Tree,Fruit","Bertberry Cheesecake by Bert Baccarat is a bright sativa-dominant cross of Alien Moonshine and UK Cheese. This strain’s terpene profile is rich with sweet citrus, and its buds are bulbous, bright green, and tangled in orange hairs. Bertberry Cheesecake is both mentally and physically stimulating, offering creativity and strong euphoria. But mind your dosage, as  Bertberry Cheesecake has been known to overstimulate consumers prone to anxiety.  "
Bettie-Page,hybrid,4.2,"Creative,Uplifted,Energetic,Euphoric,Relaxed","Earthy,Sweet,Blue,Cheese","Bettie Page, grown by Liberty Reach Farms in Washington, is a perfectly balanced 50/50 hybrid cannabis strain. This high-THC strain provides mellow euphoria that focuses itself in the cerebral space, encouraging energy rather than lethargy. "
